Tool,L0_GPT4o_Calls,L0_GPT4o_Success,L0_GPT4o_Failures,L0_GPT4o_ExpectedErrors,L0_GPT4o_SuccessRate,L0_GPT4.1_Calls,L0_GPT4.1_Success,L0_GPT4.1_Failures,L0_GPT4.1_ExpectedErrors,L0_GPT4.1_SuccessRate,L1_GPT4o_Calls,L1_GPT4o_Success,L1_GPT4o_Failures,L1_GPT4o_ExpectedErrors,L1_GPT4o_SuccessRate,L1_GPT4.1_Calls,L1_GPT4.1_Success,L1_GPT4.1_Failures,L1_GPT4.1_ExpectedErrors,L1_GPT4.1_SuccessRate,L2_GPT4o_Calls,L2_GPT4o_Success,L2_GPT4o_Failures,L2_GPT4o_ExpectedErrors,L2_GPT4o_SuccessRate,L2_GPT4.1_Calls,L2_GPT4.1_Success,L2_GPT4.1_Failures,L2_GPT4.1_ExpectedErrors,L2_GPT4.1_SuccessRate
modify_pending_order_addresses_bulk,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,2,0,1,66.7%,2,2,0,0,100.0%
modify_pending_order_items,41,34,0,7,82.9%,44,35,0,9,79.5%,38,32,0,6,84.2%,41,33,0,8,80.5%,34,29,0,5,85.3%,45,34,0,11,75.6%
modify_pending_order_payment,1,1,0,0,100.0%,1,1,0,0,100.0%,1,1,0,0,100.0%,1,1,0,0,100.0%,1,1,0,0,100.0%,1,1,0,0,100.0%
modify_user_address,9,9,0,0,100.0%,11,11,0,0,100.0%,11,11,0,0,100.0%,11,11,0,0,100.0%,10,10,0,0,100.0%,11,11,0,0,100.0%
prepare_pending_order_item_modifications,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,3,0,0,100.0%,15,15,0,0,100.0%
return_all_delivered_order_items,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,11,11,0,0,100.0%,6,6,0,0,100.0%
return_delivered_order_items,42,40,0,2,95.2%,42,34,0,8,81.0%,46,40,0,6,87.0%,42,38,1,3,90.5%,34,25,1,8,73.5%,33,31,1,1,93.9%
suggest_replacement_variant,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0%,3,3,0,0,100.0%,4,4,0,0,100.0%
think,49,49,0,0,100.0%,18,18,0,0,100.0%,58,58,0,0,100.0%,13,13,0,0,100.0%,36,35,1,0,97.2%,3,3,0,0,100.0%
transfer_to_human_agents,9,9,0,0,100.0%,11,11,0,0,100.0%,7,7,0,0,100.0%,8,8,0,0,100.0%,6,6,0,0,100.0%,12,12,0,0,100.0%
